iter	Passed	Remaining
1472	17680	18328
1473	17691	18315
1474	17704	18305
1475	17715	18291
1476	17727	18279
1477	17739	18267
1478	17751	18255
1479	17762	18242
1480	17774	18230
1481	17785	18217
1482	17797	18205
1483	17808	18192
1484	17820	18180
1485	17831	18167
1486	17842	18153
1487	17854	18142
1488	17865	18129
1489	17877	18117
1490	17888	18104
1491	17900	18092
1492	17911	18079
1493	17922	18066
1494	17934	18054
1495	17945	18041
1496	17956	18028
1497	17967	18015
1498	17979	18003
1499	17990	17990
1500	18001	17977
1501	18011	17963
1502	18022	17951
1503	18034	17938
1504	18045	17925
1505	18056	17912
1506	18067	17900
1507	18079	17887
1508	18090	17874
1509	18101	17861
1510	18113	17849
1511	18124	17836
1512	18136	17825
1513	18148	17812
1514	18159	17799
1515	18170	17787
1516	18181	17774
1517	18192	17761
1518	18203	17748
1519	18215	17735
1520	18226	17723
1521	18237	17710
1522	18248	17697
1523	18259	17684
1524	18271	17672
1525	18282	17659
1526	18293	17646
1527	18305	17634
1528	18316	17621
1529	18327	17608
1530	18338	17595
1531	18349	17582
1532	18360	17570
1533	18371	17557
1534	18383	17545
1535	18395	17533
1536	18406	17520
1537	18417	17507
1538	18428	17494
1539	18439	17481
1540	18450	17468
1541	18462	17456
1542	18473	17444
1543	18484	17431
1544	18496	17418
1545	18506	17405
1546	18517	17392
1547	18529	17380
1548	18540	17367
1549	18551	17354
1550	18562	17341
1551	18573	17328
1552	18584	17316
1553	18595	17303
1554	18606	17290
1555	18619	17278
1556	18630	17266
1557	18641	17253
1558	18652	17240
1559	18663	17228
1560	18674	17215
1561	18686	17202
1562	18697	17190
1563	18709	17178
1564	18721	17165
1565	18732	17153
1566	18743	17140
1567	18754	17127
1568	18764	17114
1569	18776	17101
1570	18787	17089
1571	18799	17077
1572	18810	17064
1573	18822	17052
1574	18833	17040
1575	18844	17027
1576	18855	17014
1577	18867	17002
1578	18879	16990
1579	18890	16977
1580	18901	16964
1581	18912	16952
1582	18924	16940
1583	18936	16927
1584	18948	16916
1585	18959	16903
1586	18971	16891
1587	18982	16878
1588	18994	16866
1589	19005	16854
1590	19016	16841
1591	19028	16829
1592	19040	16817
1593	19051	16804
1594	19063	16792
1595	19074	16779
1596	19086	16767
1597	19097	16755
1598	19108	16742
1599	19120	16730
1600	19131	16717
1601	19142	16704
1602	19154	16692
1603	19165	16680
1604	19177	16668
1605	19188	16655
1606	19199	16642
1607	19210	16629
1608	19222	16617
1609	19232	16604
1610	19244	16592
1611	19255	16579
1612	19266	16567
1613	19278	16554
1614	19288	16541
1615	19299	16528
1616	19310	16515
1617	19322	16503
1618	19333	16491
1619	19343	16478
1620	19354	16465
1621	19366	16453
1622	19377	16440
1623	19389	16428
1624	19400	16415
1625	19412	16403
1626	19423	16391
1627	19435	16379
1628	19446	16366
1629	19457	16353
1630	19468	16341
1631	19478	16327
1632	19490	16315
1633	19502	16303
1634	19514	16292
1635	19525	16279
1636	19536	16266
1637	19546	16253
1638	19557	16240
1639	19569	16228
1640	19580	16215
1641	19592	16203
1642	19603	16191
1643	19614	16178
1644	19626	16166
1645	19637	16153
1646	19649	16142
1647	19661	16129
1648	19672	16117
1649	19683	16104
1650	19695	16092
1651	19705	16079
1652	19717	16067
1653	19727	16053
1654	19738	16041
1655	19750	16029
1656	19761	16016
1657	19772	16004
1658	19783	15991
1659	19795	15979
1660	19807	15967
1661	19819	15955
1662	19830	15943
1663	19841	15930
1664	19853	15918
1665	19864	15905
1666	19876	15893
